"individual_director","content_count","rnk"
"Rajiv Chilaka","22","1"
"Jan Suter","21","2"
"Raúl Campos","19","3"
"Marcus Raboy","16","4"
"Suhas Kadav","16","4"
"Jay Karas","15","5"
"Cathy Garcia-Molina","13","6"
"Youssef Chahine","12","7"
"Martin Scorsese","12","7"
"Jay Chapman","12","7"
"Steven Spielberg","11","8"
"Don Michael Paul","10","9"
"Anurag Kashyap","9","10"
"Yılmaz Erdoğan","9","10"
"David Dhawan","9","10"
"Shannon Hartman","9","10"
