"countries","content_count","country_rnk"
"United States","3690","1"
"India","1046","2"
"United Kingdom","806","3"
"Canada","445","4"
"France","393","5"
"Japan","318","6"
"Spain","232","7"
"South Korea","231","8"
"Germany","226","9"
"Mexico","169","10"
"China","162","11"
"Australia","160","12"
"Egypt","117","13"
"Turkey","113","14"
"Hong Kong","105","15"
