"rating_by_audience","content_count","movie_count","tv_show_count","percentage_movie_count","percentage_tv_show_count"
"Adults","4009","2862","1147","71.38937390870541282100","28.61062609129458717900"
"Teens","2650","1917","733","72.33962264150943396200","27.66037735849056603800"
"Kids (7+)","1489","970","519","65.14439220953660174600","34.85560779046339825400"
"Kids","568","298","270","52.46478873239436619700","47.53521126760563380300"
"Unclassified","91","84","7","92.30769230769230769200","7.69230769230769230800"
