"individual_director"
"David Gordon Green"
"Jorge Blanco"
"Zara Hayes"
"Gary Ross"
"Clint Eastwood"
"Trey Parker"
"Kelly Fremon Craig"
"Tom Elkins"
"Tony Scott"
"Brad Furman"
"Sylvain White"
"Brad Anderson"
"Irwin Winkler"
"Spike Lee"
"Garry Marshall"
"Kenneth Gyang"
"Jaume Balagueró"
"Najwa Najjar"
"Selçuk Metin"
"Najwa Najjar"
"Keishi Otomo"
"Oliver Twinch"
"David Charhon"
"Michelle Bello"
"Steven Tsuchida"
"Daniel Markowicz"
"Louie Schwartzberg"
"Glen Winter"
"Ram Gopal Varma"
"David Benullo"
"Laxman Utekar"
"Royale Watkins"
"Rich Schlansker"
"Yuval Adler"
"Quentin Tarantino"
"Clay Glen"
"Muzi Mthembu"
"Marcos Bucay"
"Peter Thorwarth"
"Kim Seong-hun"
"Augustine Frizzell"
"Sidheswar Shukla"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Binayak Das"
"Arpan Sarkar"
"Shyamal Chaulia"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Owll Mina"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Rajiv Chilaka"
"Ainsley Gardiner"
"Briar Grace-Smith"
"Mahmoud Karim"
"Kyohei Ishiguro"
"Seyi Babatope"
"Johane Matte"
"Andrew L. Schmidt"
"Francisco Ruiz Velasco"
"Morgan Ingari"
"Abdulaziz Alshlahei"
"Edward Drake"
"Kathryn Fasegha"
"Sita Likitvanichkul"
"Jetarin Ratanaserikiat"
"Apirak Samudkitpaisan"
"Thanabodee Uawithya"
"Adirek Wattaleela"
"Leigh Janiak"
"Luis Estrada"
"Garrett Bradley"
"Sofia Coppola"
"Colin Trevorrow"
"Bill Condon"
"Bill Condon"
"David Slade"
"Chris Weitz"
"Catherine Hardwicke"
"Hadrah Daeng Ratu"
"Tommy Chong"
"Fred Ouro Preto"
"Mayye Zayed"
"Alessandra de Rossi"
"Ash Brannon"
"Chris Buck"
"Alaa Eddine Aljem"
"Tom Donahue"
"Roberto De Feo"
"Paolo Strippoli"
"Llewellyn M. Smith"
"Navot Papushado"
"Manuel Alcalá"
"Ricardo Trogi"
"Semi Chellas"
"Akay Mason"
"Abosi Ogba"
"Viridiana Lieberman"
"Nima Nourizadeh"
"Daniel Růžička"
"Juraj Šajmovič"
"Leigh Janiak"
"Femi D. Ogunsanwo"
"Douglas Attal"
"Kim Joo-hyung"
"Avi Federgreen"
"Jericca Cleland"
"Kevin Munroe"
"Ahmed Siddiqui"
"Hallie Meyers-Shyer"
"Scott Speer"
"Barry Levinson"
"Tolulope Itegboje"
"Camille Delamarre"
"Pascal Atuma"
"Oleg Trofim"
"Seyi Babatope"
"Mahmood Ali-Balogun"
"Jan Holoubek"
"Anurin Nwunembom"
"Musing Derrick"
"Christine Luby"
"Udoka Oyeka"
"Yeo Siew Hua"
"Hardik Mehta"
"Rajveer Singh Maan"
"Harpeet Singh"
"Youssef Chahine"
"Saw Teong Hin"
"Nik Amir Mustapha"
"M.S. Prem Nath"
"Rano Karno"
"Pramod Pawar"
"Naresh Saigal"
"Leigh Janiak"
"Vinil Mathew"
"Neri Parenti"
"Ramsey Nouah"
"Bong Joon Ho"
"Kim Tae-hyung"
"Michael Spierig"
"Peter Spierig"
"Ernie Barbarash"
"Wolfgang Petersen"
"Matt Ogens"
"Jay Roach"
"Jay Roach"
"Jay Roach"
"Paul Thomas Anderson"
"McG"
"Frank Marshall"
"Nick Castle"
"Victor Vu"
"Chow Hin Yeung Roy"
"Joel Hopkins"
"John Stevenson"
"Mark Osborne"
"Jennifer Yuh Nelson"
"Greg Berlanti"
"Garth Davis"
"Malik Nejer"
"Rob Marshall"
"Martin Brest"
"Shuko Murase"
"Paul W.S. Anderson"
"Garry Marshall"
"Ivan Reitman"
"Joel Gallen"
"Claire McCarthy"
"Mary Lambert"
"Sidharta Tata"
"Aco Tenriyagelli"
"Dian Sastrowardoyo"
"Ifa Isfansyah"
"Jason Iskandar"
"Trevor Nunn"
"Gabriele Muccino"
"Daniel McCabe"
"Jim Field Smith"
"Chris Koch"
"J.J. Abrams"
"Rob Minkoff"
"Lynn Shelton"
"Adam McKay"
"Anton Corbijn"
"Robin Bissell"
"David Fincher"
"John G. Avildsen"
"John G. Avildsen"
"John G. Avildsen"
"Alan Parker"
"Walter Hill"
"Stephen Frears"
"Bryan Bertino"
"Phil Alden Robinson"
"Florian Henckel von Donnersmarck"
"Len Wiseman"
"Måns Mårlind"
"Björn Stein"
"Patrick Tatopoulos"
"Robert O. Peters"
"Vincent Ward"
"Gregory Nava"
"Mary Harron"
"Matt Thompson"
"Jameel Buari"
"Shen Leping"
"Matt Aselton"
"Jose Javier Reyes"
"Jakub Piątek"
"John Dower"
"B. T Thomas"
"Andrew Dominik"
"Nibal Arakji"
"Sofie Šustková"
"Anissa Bonnefont"
"Bahij Hojeij"
"Jonathan Hensleigh"
"Srijit Mukherji"
"Vasan Bala"
"Abhishek Chaubey"
"Justin P. Lange"
"Kimmy Gatewood"
"Tània Balló"
"Manolo Caro"
"Anurin Nwunembom"
"Jayme Monjardim"
"Kingsley Ogoro"
"Kingsley Ogoro"
"Cristina Jacob"
"Cristina Jacob"
"Cristina Jacob"
"Fernando Moro"
"Ivan Andrew Payawal"
"Yoshiyuki Tomino"
"Yoshikazu Yasuhiko"
"Yoshiyuki Tomino"
"Yoshikazu Yasuhiko"
"Yoshiyuki Tomino"
"Rob Seidenglanz"
"Simon Frederick"
"Michihito Fujii"
"Paul Weitz"
"Karthik Subbaraj"
"Kayode Kasum"
"Yoshiyuki Tomino"
"Yoshikazu Yasuhiko"
"Keishi Otomo"
"Hsu Fu-chun"
"Lucky Kuswandi"
"Soudade Kaadan"
"Soudade Kaadan"
"Antoinette Jadaone"
"Marie Clements"
"David O. Russell"
"Achille Brice"
"Max Jabs"
"Sarawut Wichiensarn"
"Ricardo de Montreuil"
"Peter Chelsom"
"Michael Lockshin"
"Francine Parker"
"Daniel Schechter"
"Peter Yost"
"Mike Gunther"
"David Zeiger"
"Michael Simon"
"Jerry Rothwell"
"Joe Berlinger"
"Bruce Sinofsky"
"Ian Cheney"
"Sharon Shattuck"
"Bradley Parker"
"Prabhakaran"
"Manjari Makijany"
"Jay Oliva"
"Chris Appelhans"
"Michael Tiddes"
"Tom Stubberfield"
"Lara Saba"
"Bao Nhan"
"Namcito"
"Mark Raso"
"Tariq Alkazim"
"Mark Raso"
"Kenneth Gyang"
"Yulene Olaizola"
"Mark Waters"
"Matthew Heineman"
"Robert Peters"
"Jonathan Clay"
"Ally Pankiw"
"George Ford"
"George Ford"
"Noel Dockstader"
"Quinn Kanaly"
"Lee Kae-byeok"
"Jayan Moodley"
"Daniel Benmayor"
"Alex Díaz"
"Helena Bergström"
"Alejandro De Grazia"
"Juan Stadler"
"Myriam Fares"
"Chiaki Kon"
"Rae Red"
"Lance Hool"
"Nicole Conn"
"Les Mayfield"
"Ellen Seidler"
"Megan Siler"
"Gail Willumsen"
"Roger Christian"
"Peter Galison"
"Lance Young"
"Leandro Neri"
"Thom Fitzgerald"
"Don Michael Paul"
"Andrzej Bartkowiak"
"Harold Becker"
"Andrew Jenks"
"Ric Roman Waugh"
"Rob Reiner"
"Andy Tennant"
"Tade Ogidan"
"Scott Spiegel"
"Jessie Nelson"
"Theodore Witcher"
"Clint Eastwood"
"Aurora Guerrero"
"Michael Jai White"
"James McTeigue"
"Takuya Igarashi"
"Michelle MacLaren"
"Hidenori Inoue"
"Hidenori Inoue"
"Don Michael Paul"
"Todd Phillips"
"Walter Hill"
"Steve Ball"
"Dominic Sena"
"Alan Alda"
"Mika Kaurismäki"
"Sydney Pollack"
"Lorene Scafaria"
"Barbra Streisand"
"Clint Eastwood"
"Michael Winterbottom"
"Emma Tammi"
"Peter Hutchings"
"George Ratliff"
"Bo Burnham"
"Ekene Som Mekwunye"
"David Frankel"
"Kevin Johnson"
"José Larraza"
"Marc Pons"
"Gary Sing"
"Julio Quintana"
"Paween Purijitpanya"
"Pablo Faro"
"Soudade Kaadan"
"Letizia Lamartire"
"Ray Jiang"
"Daniel Vernon"
"Steve Gukas"
"Tim Johnson"
"Vishwesh Krishnamoorthy"
"Zack Snyder"
"Uduak-Obong Patrick"
"Mohamed Diab"
"Amr Salama"
"Christopher Amos"
"Prakash Satam"
"Robert Rodriguez"
"Milan Luthria"
"David Ayer"
"Eshom Nelms"
"Ian Nelms"
"James Moll"
"James Redford"
"Kaashvie Nair"
"J.D. Dillard"
"Nikhil Pherwani"
"Mae Czarina Cruz"
"Praveen Kandregula"
"Cecilia Verheyden"
"Daniel Minahan"
"Donovan Marsh"
"Brent Dawes"
"Leli Maki"
"Uzodinma Okpechi"
"Daniel Prochaska"
"Joe Wright"
"Matthew Vaughn"
"Aditya Kripalani"
"Adriano Rudiman"
"David Pablos"
"Alexandre Aja"
"Cai Cong"
"Samuel Olatunji"
"Ramon Térmens"
"Svetlana Cvetko"
"Martin Prakkat"
"Baran bo Odar"
"Zhang Chong"
"Yılmaz Erdoğan"
"Shantrelle P. Lewis"
"Ivan Ayr"
"Anthony Mandler"
"Vijay Roche"
"Stanley Menino D'Costa"
"Jennifer Brea"
"Julia von Heinz"
"Niels Arden Oplev"
"Don Argott"
"Sheena M. Joyce"
"Joshua Zeman"
"Duncan Skiles"
"Sean McNamara"
"Vondie Curtis-Hall"
"Robert Radler"
"Roel Reiné"
"Todd Phillips"
"Dean Parisot"
"Paul Greengrass"
"Lasse Hallström"
"Justin Kelly"
"Eric Darnell"
"Tom McGrath"
"Conrad Vernon"
"Suhas Kadav"
"Suhas Kadav"
"Suhas Kadav"
"Suhas Kadav"
"Suhas Kadav"
"Clint Eastwood"
"Jeff Wadlow"
"Charles Martin"
"Stella Corradi"
"Roland Emmerich"
"Kevin Macdonald"
"Ann Deborah Fishman"
"Chris Gorak"
"Peter Jackson"
"Roger Kumble"
"Jonathan Lynn"
"Courtney Hunt"
"Pierre Greco"
"Nancy Florence Savard"
"Andrew Davis"
"Kevin Smith"
"Tosin Igho"
"Chaitanya Tamhane"
"Oriol Paulo"
"Mike Rianda"
"Jeff Rowe"
"Johannes Roberts"
"Robert Pulcini"
"Shari Springer Berman"
"Pedro Antonio"
"John Wells"
"Jonathan Liebesman"
"Maria Pulera"
"Santhosh Viswanath"
"Seema Pahwa"
"Ozan Açıktan"
"Meltem Bozoflu"
"Hakan Algül"
"Selçuk Aydemir"
"Birkan Pusa"
"Selçuk Aydemir"
"Ömer Faruk Sorak"
"Şenol Sönmez"
"Alexis Morante"
"Burak Aksak"
"Kıvanç Baruönü"
"Kıvanç Baruönü"
"Rindala Kodeih"
"Kongkiat Khomsiri"
"Bedran Güzel"
"Hakan Algül"
"Marwan Nabil"
"MIKIKO"
"Daito Manabe"
"Kayode Kasum"
"Yılmaz Erdoğan"
"Ömer Faruk Sorak"
"Takashi Shimizu"
"Joe Penna"
"Ahishor Solomon"
"Curtis Graham"
"Gerardo Gatica"
"Suhas Kadav"
"Suhas Kadav"
"Suhas Kadav"
"Akshay Sanjeev Chavan"
"Sumit Das"
"John Madden"
"Edward James Olmos"
"Abhinay Deo"
"Kiran Rao"
"Abbas Tyrewala"
"Ashutosh Gowariker"
"Satyajit Bhatkal"
"Anusha Rizvi"
"Mahmood Farooqui"
"Aamir Khan"
"Shashank Khaitan"
"Raj Mehta"
"Neeraj Ghaywan"
"Kayoze Irani"
"Ryan Crego"
"Cassi Simonds"
"Guillermo del Toro"
"Tony Abulu"
"Mae Czarina Cruz"
"Stefan Westerwelle"
"Ron Howard"
"Justin Benson"
"Aaron Moorhead"
"Niki Caro"
"Mark Dennis"
"Ben Foster"
"Taranveer Singh"
"TT The Artist"
"Keiichi Sato"
"Yasushi Kawamura"
"Glenn Weiss"
"Michael Civille"
"Ryuichi Hiroki"
"Paul Thomas Anderson"
"One9"
"Adriano Rudiman"
"Luis Valdez"
"Cheng Wei-hao"
"Pass Patthanakumjon"
"Buchi Babu Sana"
"Fredrick Munk"
"Suhas Kadav"
"Suhas Kadav"
"Suhas Kadav"
"Suhas Kadav"
"Moyoung Jin"
"Caroline Sá"
"Deepti Kakkar"
"Fahad Mustafa"
"Hikaru Toda"
"Chico Pereira"
"Elaine McMillion Sheldon"
"Suhas Kadav"
"Suhas Kadav"
"Suhas Kadav"
"Zhao Ji"
"Jamie Babbit"
"Park Hoon-jung"
"Dare Olaitan"
"Hardik Mehta"
"Ben Falcone"
"Travon Free"
"Martin Desmond Roe"
"Angga Dwimas Sasongko"
"Steve Rolston"
"Shalini Kantayya"
"Madonne Ashwin"
"Enah Johnscott"
"Braden R. Duemmler"
"Cal Brunker"
"Steve Pink"
"Xiao Feng"
"Vince Marcello"
"Ricky Staub"
"Patrick Durham"
"Paul G. Volk"
"BB Sasore"
"Naseef Yusuf Izuddin"
"Appie Boudellah"
"Aram van de Rest"
"Sylvie Verheyde"
"Nick Moore"
"Alex Zamm"
"Roland Emmerich"
"Rajkumar Hirani"
"Rajesh Mapuskar"
"Lina Al Abed"
"James Wan"
"David Hackl"
"Takeshi Nozue"
"Robert Luketic"
"Subhash Kapoor"
"Ringo Lam"
"George Cukor"
"Tony Giglio"
"Hidenori Inoue"
"Hidenori Inoue"
"Hidenori Inoue"
"Don Michael Paul"
"Shinji Aramaki"
"Masaru Matsumoto"
"John Luessenhop"
"Hanung Bramantyo"
"Pandu Adjisurya"
"Bashir El Deek"
"Roman Polański"
"Nelson McCormick"
"Mic Rodgers"
"Bejoy Nambiar"
"Shawn Rech"
"Peyton Reed"
"Julian Schnabel"
"Adrián García Bogliano"
"Jose Gomez"
"Jonathon Link"
"Blair Simmons"
"Justin Chadwick"
"John Hillcoat"
"Nadine Ibrahim"
"Roman White"
"Fermín Muguruza"
"Mike Hodges"
"Eylem Kaftan"
"Fernando Ayllón"
"Umesh Bist"
"Massimiliano Camaiti"
"Aleksey Tsitsilin"
"Ali Tabrizi"
"Kagiso Lediga"
"Jung-ah Im"
"Stephen Frears"
"Takuma Sato"
"Brody Chu"
"Dimitri Logothetis"
"Taketoshi Sado"
"Li Weiran"
"Chinaza Onuzo"
"Anna Elizabeth James"
"Vitor Brandt"
"Troy Miller"
"Liam O'Donnell"
"Manny Rodriguez"
"Jay Lavender"
"Farah Nabulsi"
"Adriano Rudiman"
"Walter Taylaur"
"Chris Smith"
"Alain Brunard"
"Tate Taylor"
"Ladislaus Kiraly"
"Oliver Stone"
"Hemambar Jasti"
"Steven Spielberg"
"Taylor Morden"
"Helena Coan"
"Muharrem Gülmez"
"Dolapo Adeleke"
"Mahsun Kırmızıgül"
"Can Ulkay"
"Luis Alejandro Pérez"
"Ketche"
"Erol Özlevi"
"Miguel Arteta"
"Tolga Örnek"
"Pablo Agüero"
"Mohammad Irfan Ramly"
"Kevin McManus"
"Matthew McManus"
"Ange Basterga"
"Nicolas Lopez"
"Gitanjali Rao"
"Halitha Shameem"
"Carlos Moreno"
"Kayode Kasum"
"Maribel Sánchez-Maroto"
"Julien Leclercq"
"Fajar Bustomi"
"Taylor Hackford"
"Lasse Hallström"
"Amy Poehler"
"Jared Hess"
"Tyler Measom"
"Mike Binder"
"Abir Sengupta"
"Sunny Lau"
"Hidenori Inoue"
"Emmett Malloy"
"Xavier Maingon"
"Marc-Antoine Hélard"
"Milton Kremer"
"Kevin Costner"
"Marco Petry"
"Andrew Duncan"
"Ken Cunningham"
"Barry Levinson"
"Hidenori Inoue"
"Liam Lynch"
"Jérémie Degruson"
"Ben Stassen"
"Matt Ross"
"Dani de la Orden"
"Pablo Larraín"
"John Erick Dowdle"
"Jesse Peretz"
"Ribhu Dasgupta"
"Pablo Larraín"
"Baran bo Odar"
"Rizki Balki"
"Shunsuke Kariyama"
"Jeferson De"
"Troy Miller"
"Barry Avrich"
"David Tryhorn"
"Ben Nicholas"
"Tirumala Kishore"
"James Wan"
"James Wan"
"Huang Hsin-Yao"
"Chris Weitz"
"Saron Sakina"
"J Blakeson"
"Khalid Rahman"
"Luis Ara"
"Tharun Bhascker Dhaassyam"
"B. V. Nandini Reddy"
"Nag Ashwin"
"Sankalp Reddy"
"Prateek Vats"
"Alex Merkin"
"Ian Cheney"
"Ben Simms"
"Vikram Bhatt"
"Dallas Jenkins"
"Damián Romay"
"Hamisha Daryani Ahuja"
"Hong Khaou"
"Mario Briongos"
"Vinay Bharadwaj"
"Michael Fimognari"
"Eric D. Cabello Díaz"
"Clara Martínez-Lázaro"
"Monty Tiwa"
"Ava DuVernay"
"Alain Darborg"
"Filip Zylber"
"Ava DuVernay"
"Joe Berlinger"
"Julien Royal"
"Brian Baugh"
"Todd Phillips"
"Henri Wong"
"Maïa Sandoz"
"Mostofa Sarwar Farooki"
"Joseph Hsu"
"Sam Levinson"
"Jo Sung-hee"
"Michèle Ohayon"
"Rocco Ricciardulli"
"Guo Jingming"
"Jan Belcl"
"Esteban Crespo"
"Noé González"
"Dennis Dugan"
"Sarah Gavron"
"Martin Scorsese"
"Roger Donaldson"
"Richard Arellano"
"Jon Favreau"
"Marco Pontecorvo"
"Gregory Plotkin"
"Lluís Quílez"
"Jude Weng"
"Simon Stone"
"Noviandra Santosa"
"Jeremy Grant"
"Jeo Baby"
"Glendyn Ivin"
"Okey Oku"
"Ifeanyi Ikpoenyi"
"Chris Eneng Enaji"
"Ángeles Reiné"
"Paul Haggis"
"Ramin Bahrani"
"Nicol Paone"
"Nick Rowland"
"RZA"
"Cooper Karl"
"Gary Fleder"
"J.A. Bayona"
"Darren Lynn Bousman"
"Lydia Dean Pilcher"
"Ginny Mohler"
"Cris D'Amato"
"Mikael Håfström"
"Eric Darnell"
"Simon J. Smith"
"Byeon Hee-sun"
"Peter Facinelli"
"Renuka Shahane"
"Ross Kauffman"
"Sung Do-jun"
"Hanung Bramantyo"
"Charles Gozali"
"Bagus Bramanti"
"James Toback"
"Tiller Russell"
"Francisco D'Eufemia"
"Chris Rock"
"Juliet May"
"Stanley Nelson"
"Olivier Nakache"
"Éric Toledano"
"Prakash Jha"
"Rohan Sippy"
"Ross Venokur"
"Prakash Jha"
"Rohena Gera"
"Maite Ruiz De Austri"
"Jastis Arimba"
"Eric Summer"
"Éric Warin"
"Kornél Mundruczó"
"Alejandro Ruax"
"Ramiro Martínez"
"Florent Bodin"
"Sohail Khan"
"Gabriele Muccino"
"Hallvard Bræin"
"Jeff Tremaine"
"Christian Alvart"
"Robert Townsend"
"Jeff Deverett"
"Ron Krauss"
"Brian Robbins"
"Jeff Stilson"
"Sean Penn"
"Mark McQueen"
"Melanie Mayron"
"Donald Petrie"
"Tony Collingwood"
"Jennifer Beamish"
"Toby Trackman"
"Jaume Collet-Serra"
"Kim Dong-kyu"
"Lasse Hallström"
"Shaz Bennett"
"Samar Shaikh"
"Archie Hekagery"
"Sabrina Rochelle Kalangie"
"Cosima Spender"
"Liao Shih-han"
"Arnon Manor"
"Timothy Ware-Hill"
"Gore Verbinski"
"Al Campbell"
"Alice Mathias"
"Maïwenn"
"Richard Weston"
"Vikramaditya Motwane"
"Prime Cruz"
"Robert Rodriguez"
"Andibachtiar Yusuf"
"Yandy Laurens"
"Cathy Garcia-Molina"
"John Mitchell"
"Jeremy Kipp Walker"
"George Clooney"
"Liu Kuang-hui"
"Fernando Ayllón"
"Roger Kumble"
"Kristian Mercado"
"Daan Jansen"
"Stijn Verlinde"
"Jay Grace"
"Paul Dugdale"
"James Haslam"
"Muhammad Ali"
"Thomas Toby Parkinson"
"John Putch"
"Sam Macaroni"
"George C. Wolfe"
"Yasmin Ahmad"
"Sudha Kongara"
"Vignesh Shivan"
"Gautham Vasudev Menon"
"Vetri Maaran"
"Yasmin Ahmad"
"Yasmin Ahmad"
"Juan Camilo Pinzon"
"Lin Oeding"
"Naya Anindita"
"Antoinette Jadaone"
"JP Habac"
"Alexx Media"
"Farishad I. Latjuba"
"Andrucha Waddington"
"Pedro Waddington"
"Picky Talarico"
"Jun Lana"
"Brad Peyton"
"Lee Daniels"
"Tom Ford"
"Ellena Wood"
"Jesse Vile"
"Vir Das"
"Miranda de Pencier"
"Farhad Safinia"
"Shaun Paul Piccinino"
"Eddie Rosas"
"Frank E. Abney III"
"James D. Stern"
"Fernando Villena"
"Ryan Murphy"
"Girish Malik"
"Deepa Mehta"
"Lai Chun-yu"
"Theodore Boborol"
"Mae Czarina Cruz"
"Jun Lana"
"Jun Lana"
"Sydney Sibilia"
"Josiah Ng"
"Kirk Wise"
"Beth Sleven"
"Allan Jacobsen"
"Kevin Wotton"
"Steve Ball"
"John Hillcoat"
"Tate Taylor"
"Jalil Lespert"
"Su I-Hsuan"
"Chuang Shiang-an"
"Liu Yi"
"Clint Butler"
"Erik Kling"
"Kevin Peaty"
"Detlev Buck"
"David Fincher"
"Amanda Raymond"
"Jason Paul Laxamana"
"Marc Fouchard"
"Darragh O'Connell"
"Roberto Santucci"
"Dado C. Lumibao"
"August Jakobsson"
"Anna Wieczur-Bluszcz"
"McG"
"Damien O’Connor"
"Ron Howard"
"Jon Favreau"
"Richard Laxton"
"Gil Kenan"
"Phil Burgers"
"Pierre Morel"
"Simon Wincer"
"Ron Howard"
"Brian Henson"
"Derick Cabrido"
"Marla M. Ancheta"
"Jen McGowan"
"Bernie Denk"
"Brian Skiba"
"Stanley Moore"
"Alex Woo"
"Oliver Bokelberg"
"Ángel Gómez Hernández"
