"rating_by_audience","content_count","percentage_of_rating_category"
"Adults","4009","45.52060860679005336700"
"Teens","2650","30.08970137390711933700"
"Kids (7+)","1489","16.90700579084818894100"
"Kids","568","6.44941523787895991800"
"Unclassified","91","1.03326899057567843800"
